date,event,year
01-01,New Year's Day,
01-02,"Granada, the last Moorish stronghold in España, surrenders",1492
01-03,Perihelion,
01-04,Isaac Newton born,
01-05,Twelfth Night,
01-06,Feast of Fools,
01-07,First sighting of Ganymede and Callisto by Galileo,1610
01-08,David Bowie born,
01-09,Shackleton reaches the southernmost point of Antarctica yet explored,1909
01-10,Julius Caesar crosses the Rubicon,49
01-11,Alexander Hamilton born,
01-12,Santa Clara California Mission established,1777
01-13,"First public radio broadcast (Met Opera, NYC)",1910
01-14,Makar Sankranti (Festival of the Sun),
01-15,Dr. Martin Luther King Jr. born,
01-16,First council meeting of the League of Nations,1920
01-17,Zinc Day,
01-18,Mercury Day,
01-19,Edgar Allan Poe born,
01-20,Pope Fabian executed by Roma as disloyal,250
01-21,Moss Day,
01-22,Francis Bacon born,
01-23,"Shaanxi earthquake, most lethal in history (830k dead)",1556
01-24,First Japanese lunar spacecraft launched,1990
01-25,"Tatiana Day, celebration of students and Moscow State University",
01-26,Australia Day,
01-27,Liberation of Auschwitz death camp,1945
01-28,Pride and Prejudice published,1813
01-29,Coronation of Queen Liliʻuokalani of Hawaii,1891
01-30,Assassination of Mahatma Gandhi,1948
01-31,Broccoli Day,
02-01,First volume of Oxford English Dictionary published,1884
02-02,Presentation of Jesus at the Temple (Candlemas),
02-03,USA 15th Amendment ratified granting voting rights to all races,1870
02-04,Sri Lanka,
02-05,Lichen Day,
02-06,Yew Day,
02-07,Winter–Spring Midpoint,
02-08,Waitangi Day (New Zealand),
02-09,The Beatles perform on US television for the first time,1964
02-10,Marriage of Queen Victoria of England to Prince Albert,1840
02-11,National Foundation Day (Japan),
02-12,Charles Darwin born,
02-13,Lupercalia,
02-14,Valentine's Day,
02-15,Galileo Galilei born,
02-16,Lithuania,
02-17,First transit of the Suez Canal,1867
02-18,Family Day (Canada),
02-19,Nicolaus Copernicus born,
02-20,Death of Frederick Douglass,
02-21,Murder of Malcolm X,
02-22,Saint Lucia (region),
02-23,Emperor Naruhito of Japan born,1960
02-24,Estonia,
02-25,Kuwait,
02-26,Violet Day,
02-27,Dominican Republic,
02-28,Invention of nylon,1935
02-29,Leap Day,
03-01,South Korea,
03-02,Elm Day,
03-03,Bulgaria,
03-04,March Forth,
03-05,Goat Day,
03-06,Ghana,
03-07,Death of Aristotle,
03-08,Women's Day,
03-09,Wealth of Nations by Adam Smith published,
03-10,Twine Day,
03-11,Vannevar Bush born,
03-12,Mauritius,
03-13,Death of Susan B. Anthony,
03-14,White Day (Japan),
03-15,Tuna Day,
03-16,Dandelion Day,
03-17,St. Patrick's Day,
03-18,Global Recycling Day,
03-19,Ash Day,
03-20,Spring Equinox,
03-21,"The Purge (fictional, Purge films)",
03-22,World Water Day,
03-23,Asparagus Day,
03-24,Tulip Day,
03-25,Annunciation (Angel Gabriel's visit to Mary),
03-26,Bangladesh,
03-27,Birch Day,
03-28,Daffodil Day,
03-29,Alder Day,
03-30,Hatchery Day,
03-31,René Descartes born,
04-01,Iran and Cyprus,
04-02,Male Escorts Day,
04-03,Beech Day,
04-04,NATO formed,1949
04-05,"First Contact Day (fictional, Star Trek)",
04-06,First modern Olympic Games,1896
04-07,Hemlock Day,
04-08,Radish Day,
04-09,Gregory Pincus born (birth control),
04-10,Sibling Day,
04-11,Romaine Lettuce Day,
04-12,Yuri Gagarin orbits the Earth,1961
04-13,Arugula Day,
04-14,Ernest Walton splits the atom,1932
04-15,Leonhard Euler born,
04-16,Pansy Day,
04-17,Syria,
04-18,Zimbabwe,
04-19,Coronation of Byzantine Empress Irene Sarantapechaina of Athens,797
04-20,Cannabis Culture Day,
04-21,Romulus founds the city of Rome,
04-22,Earth Day,
04-23,Max Planck born,
04-24,World Day for Laboratory Animals,
04-25,Guglielmo Marconi born,
04-26,"Marcus Aurelius, David Hume, Ludwig Wittgenstein born",
04-27,"Togo, Sierra Leone, and South Africa",
04-28,Kurt Gödel born,
04-29,Shōwa Day (Japan),
04-30,Walpurgisnacht,
05-01,International Labor Day,
05-02,Wallflower Day,
05-03,Niccolò Machiavelli born,
05-04,Youth Day (China),
05-05,Karl Marx born,
05-06,Sigmund Freud born,
05-07,Execution of Socrates,
05-08,Parents Day (South Korea),
05-09,Europe Day (EU),
05-10,"Whacking Day (fictional, Simpsons)",
05-11,Pokhran-II nuclear tests (India),1998
05-12,International Nurses Day,
05-13,Empire of Brasil abolishes slavery,1888
05-14,Carp Day,
05-15,Paraguay,
05-16,Chives Day,
05-17,Edward Jenner born (vaccines),
05-18,Bertrand Russell born,
05-19,Shepherd's Crook Day,
05-20,Alfalfa Day,
05-21,Montenegro,
05-22,Clover Day,
05-23,Day 144,
05-24,Duck Day,
05-25,Jordan,
05-26,Georgia,
05-27,Plato born,
05-28,Armenia and Azerbaijan,
05-29,Scythe Day,
05-30,Strawberry Day,
05-31,World Parrot Day,
06-01,Samoa,
06-02,Acacia Day,
06-03,Quail Day,
06-04,Tonga,
06-05,World Environment Day,
06-06,Sweden,
06-07,Norway,
06-08,Death of Muhammad,
06-09,Remembrance for Sigurd (Ásatrú),
06-10,Chamomile Day,
06-11,Honeysuckle Day,
06-12,Philippines,
06-13,James Clerk Maxwell born,
06-14,Jasmine Day,
06-15,Global Wind Day,
06-16,Bloomsday,
06-17,Iceland,
06-18,Handcart Day,
06-19,Juneteenth,
06-20,Oats Day,
06-21,Midsummer,
06-22,"Summerween (fictional, Gravity Falls)",
06-23,Mule Day,
06-24,Rosemary Day,
06-25,Mozambique and Slovenia,
06-26,Lilo and Stitch,
06-27,Djibouti,
06-28,Tau Day,
06-29,Seychelles,
06-30,DRC,
07-01,"Canada, Somalia, Burundi, and Rwanda",
07-02,Lavender Day,
07-03,Belarus,
07-04,Aphelion,
07-05,"Venezuela, Algeria, Cape Verde, and Isle of Man",
07-06,Vladimir Lenin born,
07-07,Solomon Islands,
07-08,Parks Day,
07-09,Argentina and South Sudan,
07-10,John Calvin born,
07-11,Beans Day,
07-12,R. Buckminster Fuller born,
07-13,John Dee born,
07-14,Bastille Day,
07-15,Garlic Day,
07-16,Apollo 11 launch,
07-17,Slovakia,
07-18,Nelson Mandela born,
07-19,Last battle of the Taiping Rebellion,1864
07-20,Apollo 11: Armstrong and Aldrin step onto the Moon,1969
07-21,Belgium,
07-22,False Pi Day (22/7),
07-23,Day of the Ram,
07-24,Simón Bolívar born,
07-25,Mugwort Day,
07-26,"Netherlands, Liberia, and Maldives",
07-27,Blackberry Day,
07-28,Peru,
07-29,Jean Baudrillard born,
07-30,Henry Ford born,
07-31,Harry Potter born,
08-01,Lughnasadh (Harvest Festival),
08-02,Ewe Day,
08-03,Niger,
08-04,Flax Day,
08-05,Burkina Faso,
08-06,Nuclear bombing of Hiroshima,1945
08-07,Locks Day,
08-08,Roger Penrose born,
08-09,Nuclear bombing of Nagasaki,1945
08-10,Ecuador,
08-11,Mountain Day (Japan),
08-12,Otter Day,
08-13,Central African Republic,
08-14,Pakistan,
08-15,"India, North Korea, South Korea, and Republic of the Congo",
08-16,Gabon,
08-17,Indonesia,
08-18,Death of Genghis Khan,1227
08-19,Afghanistan,
08-20,Puffball Day,
08-21,First ICBM (USSR),1957
08-22,Salmon Day,
08-23,Start of the Battle of Stalingrad,1942
08-24,Jorge Luis Borges born,
08-25,Uruguay,
08-26,Liquorice Day,
08-27,Moldova,
08-28,Watermelon Day,
08-29,Fennel Day,
08-30,International Whale Shark Day,
08-31,"Malaysia, Kyrgyzstan, and Trinidad and Tobago",
09-01,Uzbekistan,
09-02,Vietnam,
09-03,Skyscraper Day,
09-04,Buckminsterfullerene discovered,1985
09-05,Louis XIV born,
09-06,Eswatini,
09-07,Brasil,
09-08,North Macedonia,
09-09,Tajikistan,
09-10,Large Hadron Collider powered up at CERN,2008
09-11,Crayfish Day,
09-12,Day 256,
09-13,Infamous injury of Phineas Gage,1848
09-14,Corn Day,
09-15,"Costa Rica, El Salvador, Guatemala, Honduras, and Nicaragua",
09-16,Papua New Guinea and Mexico,
09-17,Konstantin Tsiolkovsky born,
09-18,Chile,
09-19,Fête du travail (Labor and industry),
09-20,Fête de l'opinion (Convictions and criticism of government),
09-21,Fête des récompenses (Honors and rewards),
09-22,Autumn Equinox,
09-23,Saudi Arabia,
09-24,Guinea-Bissau,
09-25,Pharmacists Day,
09-26,Petrov Day,
09-27,Turkmenistan,
09-28,Carrot Day,
09-29,Enrico Fermi born,
09-30,Botswana,
10-01,China,
10-02,Guinea,
10-03,Independence of Iraq,1932
10-04,Lesotho,
10-05,Independence of Bulgaria,1908
10-06,Donkey Day,
10-07,USSR Constitution Day,
10-08,Pumpkin Day,
10-09,Korean Alphabet Day (South Korea),
10-10,Cuba and Fiji,
10-11,Wine Press Day,
10-12,Equatorial Guinea,
10-13,Peach Day,
10-14,Turnip Day,
10-15,"Friedrich Nietzsche, Michel Foucault born",
10-16,Cuban Missile Crisis,1962
10-17,Aubergine Day,
10-18,Chili Pepper Day,
10-19,Tomato Day,
10-20,Columbus's voyage sights the Bahamas,1492
10-21,Barrel Day,
10-22,Apple Day,
10-23,Hungary,
10-24,Zambia,
10-25,Death of Geoffrey Chaucer,
10-26,Goose Day,
10-27,Saint Vincent and the Grenadines,
10-28,Independence of Czechoslovakia,1918
10-29,Cat Day,
10-30,Tsar Bomba detonated,1961
10-31,Halloween,
11-01,Antigua and Barbuda,
11-02,All Souls Day,
11-03,Death of Laika (first animal to orbit the Earth),
11-04,Dr. Jane Goodall: First observation of nonhumans using tools,1960
11-05,Bonfire Night,
11-06,"Adolphe Sax born, inventor of the saxophone",1814
11-07,Marie Curie born,
11-08,Radiology Day,
11-09,Demolition of the Berlin Wall begins,1989
11-10,Martin Luther born,
11-11,Armistice Day,
11-12,Spacecraft Philae is first to land on a comet,2014
11-13,Sadie Hawkins Day,
11-14,Orange Day,
11-15,Pheasant Day,
11-16,Pistachio Day,
11-17,Leonid Meteor Shower,
11-18,"Oman, Latvia, and Morocco",
11-19,International Men's Day,
11-20,Marriage of Princess Elizabeth II of England,1947
11-21,Voltaire born,
11-22,Lebanon,
11-23,Labour Thanksgiving Day (Japan),
11-24,Baruch Spinoza born,
11-25,Pig Day,
11-26,Indian Constitution Day,
11-27,Cauliflower Day,
11-28,"Panama, Albania, Chad, and Mauritania",
11-29,Juniper Day,
11-30,Yemen and Barbados,
12-01,Portugal,
12-02,UAE,
12-03,International Day of Persons with Disabilities,
12-04,St. Barbara's Day,
12-05,Werner Heisenberg born,
12-06,Finland,
12-07,Cypress Day,
12-08,Feast of the Bodhi and the Immaculate Conception,
12-09,Eradication of Smallpox,
12-10,Human Rights Day,
12-11,End of the Han Dynasty of China,220
12-12,Kenya,
12-13,Santa Lucia,
12-14,Plutonium discovered at UC Berkeley,1940
12-15,Zamenhof (Esperanto),
12-16,Kazakhstan and Bahrain,
12-17,Wright brothers' first sustained flight,1907
12-18,Qatar,
12-19,Feast of Saint Nicholas of Myra,
12-20,Shovel Day,
12-21,Midwinter,
12-22,Muhammad's first revelation,609
12-23,Final day of Saturnalia,
12-24,Libya,
12-25,Coronation of Emperor Charlemagne,800
12-26,Mao Zedong born,
12-27,Louis Pasteur born,
12-28,John von Neumann born,
12-29,Wounded Knee Massacre,1890
12-30,Formation of the USSR,1922
12-31,New Year's Eve,
